"クローラ_ロギングデータ"
"DATA No","DATE","TIME","軸1_ｸﾛｰﾗ補正後座標","軸1 帰還ﾄﾙｸﾓﾆﾀ","軸1_ｱﾝﾌﾟ内温度","軸2_ｸﾛｰﾗ補正後座標","軸2 帰還ﾄﾙｸﾓﾆﾀ","軸2_ｱﾝﾌﾟ内温度"
0,2025/12/15,13:08:58,0,0,29,9,0,0
1,2025/12/15,13:08:58,0,0,29,9,0,0
2,2025/12/15,13:08:58,0,0,29,9,0,0
3,2025/12/15,13:08:59,0,0,29,9,0,0
4,2025/12/15,13:08:59,0,0,29,9,0,0
5,2025/12/15,13:08:59,0,0,29,9,0,0
6,2025/12/15,13:08:59,0,0,29,9,0,0
7,2025/12/15,13:08:59,0,0,29,9,0,0
8,2025/12/15,13:09:00,0,0,29,9,0,0
9,2025/12/15,13:09:00,0,0,29,9,0,0
10,2025/12/15,13:09:00,0,0,29,9,0,0
11,2025/12/15,13:09:00,0,0,29,9,0,0
12,2025/12/15,13:09:00,0,0,29,9,0,0
13,2025/12/15,13:09:01,0,0,29,9,0,0
14,2025/12/15,13:09:01,0,0,29,9,0,0
15,2025/12/15,13:09:01,0,0,29,9,0,0
16,2025/12/15,13:09:01,0,0,29,9,0,0
17,2025/12/15,13:09:01,0,0,29,9,0,0
18,2025/12/15,13:09:02,0,0,29,9,0,0
19,2025/12/15,13:09:02,0,0,29,9,0,0
20,2025/12/15,13:09:02,0,0,29,9,0,0
21,2025/12/15,13:09:02,0,0,29,9,0,0
22,2025/12/15,13:09:02,0,0,29,9,0,0
23,2025/12/15,13:09:03,0,0,29,9,0,0
24,2025/12/15,13:09:03,0,0,29,9,0,0
25,2025/12/15,13:09:03,0,0,29,9,0,0
26,2025/12/15,13:09:03,0,0,29,9,0,0
27,2025/12/15,13:09:03,0,0,29,9,0,0
28,2025/12/15,13:09:04,0,0,29,9,0,0
29,2025/12/15,13:09:04,0,0,29,9,0,0
30,2025/12/15,13:09:04,0,0,29,9,0,0
