"クローラ_ロギングデータ"
"DATA No","DATE","TIME","軸1_ｸﾛｰﾗ補正後座標","軸1 帰還ﾄﾙｸﾓﾆﾀ","軸1_ｱﾝﾌﾟ内温度","軸2_ｸﾛｰﾗ補正後座標","軸2 帰還ﾄﾙｸﾓﾆﾀ","軸2_ｱﾝﾌﾟ内温度"
0,2025/12/15,13:34:01,0,0,31,12,0,0
1,2025/12/15,13:34:01,0,0,31,12,0,0
2,2025/12/15,13:34:02,0,0,31,12,0,0
3,2025/12/15,13:34:02,0,0,31,12,0,0
4,2025/12/15,13:34:02,0,0,31,12,0,0
5,2025/12/15,13:34:02,0,0,31,12,0,0
6,2025/12/15,13:34:02,0,0,31,12,0,0
7,2025/12/15,13:34:03,0,0,31,12,0,0
8,2025/12/15,13:34:03,0,0,31,12,0,0
9,2025/12/15,13:34:03,0,0,31,12,0,0
10,2025/12/15,13:34:03,0,0,31,12,0,0
11,2025/12/15,13:34:03,0,0,31,12,0,0
12,2025/12/15,13:34:04,0,0,31,12,0,0
13,2025/12/15,13:34:04,0,0,31,12,0,0
14,2025/12/15,13:34:04,0,0,31,12,0,0
15,2025/12/15,13:34:04,0,0,31,12,0,0
16,2025/12/15,13:34:04,0,0,31,12,0,0
17,2025/12/15,13:34:05,0,0,31,12,0,0
18,2025/12/15,13:34:05,0,0,31,12,0,0
19,2025/12/15,13:34:05,0,0,31,12,0,0
20,2025/12/15,13:34:05,0,0,31,12,0,0
21,2025/12/15,13:34:05,0,0,31,12,0,0
22,2025/12/15,13:34:06,0,0,31,12,0,0
23,2025/12/15,13:34:06,0,0,31,12,0,0
24,2025/12/15,13:34:06,0,0,31,12,0,0
25,2025/12/15,13:34:06,0,0,31,12,0,0
26,2025/12/15,13:34:06,0,0,31,12,0,0
27,2025/12/15,13:34:07,0,0,31,12,0,0
28,2025/12/15,13:34:07,0,0,31,12,0,0
29,2025/12/15,13:34:07,0,0,31,12,0,0
30,2025/12/15,13:34:07,0,0,31,12,0,0
31,2025/12/15,13:34:07,0,0,31,12,0,0
32,2025/12/15,13:34:08,0,0,31,12,0,0
33,2025/12/15,13:34:08,0,0,31,12,0,0
34,2025/12/15,13:34:08,0,0,31,12,0,0
35,2025/12/15,13:34:08,0,0,31,12,0,0
36,2025/12/15,13:34:08,0,0,31,12,0,0
37,2025/12/15,13:34:09,0,0,31,12,0,0
38,2025/12/15,13:34:09,0,0,31,12,0,0
39,2025/12/15,13:34:09,0,0,31,12,0,0
40,2025/12/15,13:34:09,0,0,31,12,0,0
41,2025/12/15,13:34:09,0,0,31,12,0,0
42,2025/12/15,13:34:10,0,0,31,12,0,0
43,2025/12/15,13:34:10,0,0,31,12,0,0
44,2025/12/15,13:34:10,0,0,31,12,0,0
45,2025/12/15,13:34:10,0,0,31,12,0,0
46,2025/12/15,13:34:10,0,0,31,12,0,0
47,2025/12/15,13:34:11,0,0,31,12,0,0
48,2025/12/15,13:34:11,0,0,31,12,0,0
49,2025/12/15,13:34:11,0,0,31,12,0,0
50,2025/12/15,13:34:11,0,0,31,12,0,0
51,2025/12/15,13:34:11,0,0,31,12,0,0
52,2025/12/15,13:34:12,0,0,31,12,0,0
53,2025/12/15,13:34:12,0,0,31,12,0,0
54,2025/12/15,13:34:12,0,0,31,12,0,0
55,2025/12/15,13:34:12,0,0,31,12,0,0
56,2025/12/15,13:34:12,0,0,31,12,0,0
57,2025/12/15,13:34:13,0,0,31,12,0,0
58,2025/12/15,13:34:13,0,0,31,12,0,0
59,2025/12/15,13:34:13,0,0,31,12,0,0
60,2025/12/15,13:34:13,0,0,31,12,0,0
61,2025/12/15,13:34:13,0,0,31,12,0,0
62,2025/12/15,13:34:14,0,0,31,12,0,0
63,2025/12/15,13:34:14,0,0,31,12,0,0
64,2025/12/15,13:34:14,0,0,31,12,0,0
65,2025/12/15,13:34:14,0,0,31,12,0,0
66,2025/12/15,13:34:14,0,0,31,12,0,0
67,2025/12/15,13:34:15,0,0,31,12,0,0
68,2025/12/15,13:34:15,0,0,31,12,0,0
69,2025/12/15,13:34:15,0,0,31,12,0,0
70,2025/12/15,13:34:15,0,0,31,12,0,0
71,2025/12/15,13:34:15,0,0,31,12,0,0
72,2025/12/15,13:34:16,0,0,31,12,0,0
73,2025/12/15,13:34:16,0,0,31,12,0,0
74,2025/12/15,13:34:16,0,0,31,12,0,0
75,2025/12/15,13:34:16,0,0,31,12,0,0
76,2025/12/15,13:34:16,0,0,31,12,0,0
77,2025/12/15,13:34:17,0,0,31,12,0,0
78,2025/12/15,13:34:17,0,0,31,12,0,0
79,2025/12/15,13:34:17,0,0,31,12,0,0
80,2025/12/15,13:34:17,0,0,31,12,0,0
81,2025/12/15,13:34:17,0,0,31,12,0,0
82,2025/12/15,13:34:18,0,0,31,12,0,0
83,2025/12/15,13:34:18,0,0,31,12,0,0
84,2025/12/15,13:34:18,0,0,31,12,0,0
85,2025/12/15,13:34:18,0,0,31,12,0,0
86,2025/12/15,13:34:18,0,0,31,12,0,0
87,2025/12/15,13:34:19,0,0,31,12,0,0
88,2025/12/15,13:34:19,0,0,31,12,0,0
89,2025/12/15,13:34:19,0,0,31,12,0,0
90,2025/12/15,13:34:19,0,0,31,12,0,0
91,2025/12/15,13:34:19,0,0,31,12,0,0
92,2025/12/15,13:34:20,0,0,31,12,0,0
93,2025/12/15,13:34:20,0,0,31,12,0,0
94,2025/12/15,13:34:20,0,0,31,12,0,0
95,2025/12/15,13:34:20,0,0,31,12,0,0
96,2025/12/15,13:34:20,0,0,31,12,0,0
97,2025/12/15,13:34:21,0,0,31,12,0,0
98,2025/12/15,13:34:21,0,0,31,12,0,0
99,2025/12/15,13:34:21,0,0,31,12,0,0
100,2025/12/15,13:34:21,0,0,31,12,0,0
101,2025/12/15,13:34:21,0,0,31,12,0,0
102,2025/12/15,13:34:22,0,0,31,12,0,0
103,2025/12/15,13:34:22,0,0,31,12,0,0
104,2025/12/15,13:34:22,0,0,31,12,0,0
105,2025/12/15,13:34:22,0,0,31,12,0,0
106,2025/12/15,13:34:22,0,0,31,12,0,0
107,2025/12/15,13:34:23,0,0,31,12,0,0
108,2025/12/15,13:34:23,0,0,31,12,0,0
109,2025/12/15,13:34:23,0,0,31,12,0,0
110,2025/12/15,13:34:23,0,0,31,12,0,0
111,2025/12/15,13:34:23,0,0,31,12,0,0
112,2025/12/15,13:34:24,0,0,31,12,0,0
113,2025/12/15,13:34:24,0,0,31,12,0,0
114,2025/12/15,13:34:24,0,0,31,12,0,0
115,2025/12/15,13:34:24,0,0,31,12,0,0
116,2025/12/15,13:34:24,0,0,31,12,0,0
117,2025/12/15,13:34:25,0,0,31,12,0,0
118,2025/12/15,13:34:25,0,0,31,12,0,0
119,2025/12/15,13:34:25,0,0,31,12,0,0
120,2025/12/15,13:34:25,0,0,31,12,0,0
121,2025/12/15,13:34:25,0,0,31,12,0,0
122,2025/12/15,13:34:26,0,0,31,12,0,0
123,2025/12/15,13:34:26,0,0,31,12,0,0
124,2025/12/15,13:34:26,0,0,31,12,0,0
125,2025/12/15,13:34:26,0,0,31,12,0,0
126,2025/12/15,13:34:26,0,0,31,12,0,0
127,2025/12/15,13:34:27,0,0,31,12,0,0
128,2025/12/15,13:34:27,0,0,31,12,0,0
129,2025/12/15,13:34:27,0,0,31,12,0,0
130,2025/12/15,13:34:27,0,0,31,12,0,0
